수납장	137542	[('1007011', 0.701), ('1404002', 0.051), ('1007010', 0.071), ('1012004', 0.008), ('1402005', 0.01), ('1007020', 0.023), ('1009021', 0.014), ('1007013', 0.007), ('1013018', 0.01), ('1007012', 0.012), ('1007005', 0.005), ('1013017', 0.005), ('1013014', 0.003), ('1007002', 0.013), ('1007021', 0.011), ('1404003', 0.004), ('1013015', 0.004), ('1001002', 0.002), ('1010005', 0.001), ('1017009', 0.001), ('1011008', 0.002), ('1017004', 0.005), ('1013019', 0.001), ('1014034', 0.001), ('1017005', 0.001), ('1009015', 0.001), ('1010001', 0.001), ('1404001', 0.002), ('1013024', 0.002), ('1005001', 0.001), ('1007009', 0.001), ('1009004', 0.002), ('1011003', 0.001), ('1012008', 0.001), ('1009018', 0.003), ('1407002', 0.002), ('1402014', 0.003), ('1305021', 0.001), ('1017007', 0.001), ('1609039', 0.002), ('1014020', 0.002)]
베개	136929	[('1704022', 0.074), ('1704019', 0.422), ('1704018', 0.482), ('1704051', 0.007), ('1704014', 0.007), ('1704011', 0.002), ('1704015', 0.002), ('1706014', 0.001)]
렌지대	135425	[('1013014', 0.602), ('1013015', 0.004), ('1013018', 0.381), ('1013019', 0.001), ('1007011', 0.001), ('1609027', 0.003), ('1007020', 0.003), ('1013017', 0.001), ('1007021', 0.002)]
조명	134039	[('1808008', 0.053), ('1808011', 0.053), ('1808013', 0.239), ('1808015', 0.004), ('1808049', 0.002), ('1808020', 0.014), ('1014042', 0.001), ('1808012', 0.004), ('1803002', 0.001), ('1810036', 0.603), ('1808007', 0.004), ('1002004', 0.001), ('1014034', 0.001), ('1007020', 0.001), ('1002001', 0.001), ('1001002', 0.001), ('1808047', 0.001), ('1808009', 0.001), ('1803006', 0.001), ('1911001', 0.001), ('2401002', 0.001), ('1810015', 0.003), ('1808046', 0.001), ('1809016', 0.001), ('1810018', 0.001)]
책장	122305	[('1009021', 0.663), ('1007011', 0.109), ('1007020', 0.077), ('1404003', 0.016), ('1011008', 0.063), ('1009015', 0.012), ('1007010', 0.003), ('1007021', 0.008), ('1009020', 0.004), ('1014034', 0.006), ('1007012', 0.005), ('1404002', 0.001), ('1404001', 0.003), ('1007013', 0.001), ('1012008', 0.001), ('1007002', 0.001), ('1001002', 0.001), ('1009004', 0.014), ('1013018', 0.002), ('1011003', 0.003), ('1014042', 0.001), ('1009012', 0.002), ('1007014', 0.001)]
의자	119072	[('1012008', 0.622), ('1013022', 0.118), ('1009027', 0.169), ('1012006', 0.033), ('1013009', 0.008), ('1006003', 0.01), ('1009015', 0.012), ('1012004', 0.004), ('1013011', 0.001), ('1012007', 0.003), ('1009023', 0.009), ('1701002', 0.001), ('1012002', 0.001), ('1012003', 0.002), ('1003001', 0.001), ('1006004', 0.001), ('1901002', 0.001)]
칫솔살균기	118088	[('1105037', 0.996), ('1304037', 0.001), ('1305022', 0.001)]
쇼파	114221	[('1006003', 0.898), ('1006001', 0.038), ('1003002', 0.026), ('1014042', 0.003), ('1001005', 0.002), ('1013009', 0.001), ('1006004', 0.005), ('1012003', 0.006), ('1003001', 0.004), ('1012004', 0.001), ('1012008', 0.002), ('1013011', 0.001), ('1006002', 0.003), ('1001001', 0.001), ('1014034', 0.001), ('1706003', 0.001), ('2601025', 0.004)]
소파	113363	[('1006003', 0.921), ('1006001', 0.034), ('1003002', 0.013), ('1001005', 0.002), ('1014042', 0.002), ('1006004', 0.002), ('1012003', 0.007), ('1003001', 0.003), ('1006002', 0.003), ('1013009', 0.001), ('1012008', 0.002), ('1001001', 0.001), ('1707003', 0.001), ('1014034', 0.001), ('1706003', 0.001), ('1706011', 0.001), ('2601028', 0.001), ('2601025', 0.001)]
거실테이블	111814	[('1001005', 0.835), ('1001002', 0.047), ('1001001', 0.066), ('1013009', 0.004), ('1013004', 0.029), ('1701002', 0.002), ('1012008', 0.001), ('1012006', 0.001), ('1007013', 0.001), ('1001006', 0.007), ('1810015', 0.001), ('1701007', 0.001), ('1009015', 0.001)]
가습기	111159	[('1102006', 0.481), ('1102052', 0.275), ('1102005', 0.154), ('1102002', 0.026), ('1102003', 0.043), ('1102004', 0.011), ('1808008', 0.002), ('1810015', 0.001), ('1012006', 0.001), ('1102047', 0.001)]
패브릭소파	110649	[('1006003', 0.998)]
빨래바구니	107445	[('1403003', 0.895), ('1403006', 0.019), ('1305021', 0.013), ('1403007', 0.003), ('1007011', 0.024), ('1404003', 0.011), ('1007020', 0.003), ('1404002', 0.001), ('1403002', 0.003), ('1403001', 0.002), ('1303004', 0.002), ('1305022', 0.001), ('1304039', 0.002), ('1012006', 0.001), ('1304027', 0.001), ('1007021', 0.003), ('1609008', 0.001), ('1402008', 0.001), ('1013009', 0.001), ('1304037', 0.002), ('1304048', 0.001), ('1609050', 0.001), ('1304058', 0.001)]
트롤리	107097	[('1404003', 0.806), ('1007020', 0.074), ('1009018', 0.011), ('1001002', 0.013), ('1007011', 0.026), ('1404004', 0.006), ('1007013', 0.005), ('1404002', 0.003), ('1009021', 0.003), ('1007010', 0.002), ('1009015', 0.002), ('1408011', 0.002), ('1007012', 0.008), ('1403003', 0.002), ('1609039', 0.002), ('1013017', 0.006), ('1012006', 0.001), ('1408012', 0.003), ('1013014', 0.001), ('1007021', 0.001), ('1609038', 0.002), ('1012008', 0.001), ('1402005', 0.004), ('1011008', 0.001), ('1013018', 0.001), ('1403007', 0.001), ('1402010', 0.004), ('1016003', 0.002)]
암막커튼	106572	[('1705021', 0.962), ('1705019', 0.006), ('1705022', 0.01), ('1705020', 0.01), ('1705010', 0.005), ('1705003', 0.001), ('1705012', 0.001), ('1705006', 0.001)]
옷장	105409	[('1010005', 0.786), ('1010001', 0.106), ('1007011', 0.025), ('1016003', 0.021), ('1007010', 0.006), ('1404002', 0.01), ('1016001', 0.007), ('1016005', 0.003), ('1014034', 0.003), ('1016002', 0.007), ('1010003', 0.007), ('1011007', 0.001), ('1010004', 0.001), ('1005001', 0.007), ('1014042', 0.001), ('1405017', 0.001), ('1011006', 0.002), ('1705019', 0.002), ('1013018', 0.002), ('1007021', 0.001)]
수건	100556	[('1304027', 0.964), ('1704051', 0.002), ('1304028', 0.006), ('1701024', 0.003), ('1707014', 0.001), ('1704050', 0.001), ('1705019', 0.001), ('1304048', 0.001), ('1304023', 0.005), ('1704071', 0.002), ('1707032', 0.001), ('1911001', 0.001), ('1304037', 0.001), ('1707019', 0.002), ('1304056', 0.001)]
무선청소기	89761	[('1111015', 0.995), ('1111016', 0.002), ('1111003', 0.001)]
호텔침구	89746	[('1704051', 0.004), ('1704049', 0.994), ('1704056', 0.001)]
거실장	89243	[('1007005', 0.959), ('1007002', 0.02), ('1007011', 0.005), ('1007020', 0.003), ('1009021', 0.003), ('1007010', 0.001), ('1007012', 0.002), ('1009004', 0.001)]
사이드테이블	87568	[('1001002', 0.674), ('1007013', 0.097), ('1001006', 0.098), ('1007020', 0.057), ('1013009', 0.006), ('1001005', 0.01), ('1012006', 0.007), ('1404003', 0.003), ('1017009', 0.003), ('1014020', 0.02), ('1009015', 0.003), ('1012008', 0.005), ('1012004', 0.002), ('1007011', 0.002), ('1009020', 0.001), ('1013004', 0.001), ('1808011', 0.002), ('1808013', 0.001), ('1808008', 0.001)]
선반	86073	[('1007020', 0.611), ('1007021', 0.108), ('1009021', 0.056), ('1009020', 0.013), ('1013014', 0.04), ('1007011', 0.008), ('1001002', 0.026), ('1007013', 0.013), ('1007012', 0.008), ('1007018', 0.009), ('1404003', 0.012), ('1007017', 0.007), ('1017009', 0.007), ('1005001', 0.003), ('1609038', 0.002), ('1304039', 0.001), ('1007005', 0.001), ('1609027', 0.002), ('1009015', 0.001), ('1007019', 0.002), ('1408012', 0.004), ('1009004', 0.01), ('1007010', 0.001), ('1407002', 0.001), ('1012006', 0.001), ('1408011', 0.001), ('1016002', 0.002), ('1014020', 0.026), ('1404002', 0.001), ('1016001', 0.001), ('1404001', 0.001), ('1405017', 0.001), ('1705019', 0.001), ('1013018', 0.001), ('1012008', 0.001), ('1806069', 0.001), ('1403003', 0.005), ('1016003', 0.001), ('1013019', 0.001), ('1808013', 0.003)]
파티션	84835	[('1005001', 0.926), ('1705019', 0.013), ('1007011', 0.003), ('1009021', 0.003), ('1009015', 0.002), ('1007020', 0.003), ('1009003', 0.001), ('1014034', 0.002), ('1705022', 0.008), ('1002004', 0.001), ('1801041', 0.001), ('1007012', 0.001), ('1007021', 0.001), ('1808013', 0.001), ('1801039', 0.002), ('1801023', 0.001), ('1016003', 0.003), ('1009004', 0.001), ('1014023', 0.001), ('1705021', 0.001), ('1516000', 0.001), ('1407002', 0.001), ('1801038', 0.005), ('1802018', 0.001), ('1705025', 0.001), ('1013018', 0.001), ('1910011', 0.001), ('1705003', 0.001), ('1014020', 0.001), ('1007018', 0.001), ('2601020', 0.003), ('1810027', 0.001), ('1705005', 0.001)]
원목침대	84051	[('1014042', 0.986), ('1014034', 0.011), ('1014043', 0.001)]
매트리스깔판	82853	[('1014028', 0.247), ('1014042', 0.007), ('1014044', 0.737), ('1014034', 0.002), ('1014050', 0.001), ('1004001', 0.001), ('1014043', 0.002), ('1004004', 0.002), ('1014045', 0.001)]
에어프라이어	82291	[('1121076', 0.893), ('1121078', 0.044), ('1013014', 0.001), ('1121029', 0.003), ('1121077', 0.046), ('1121051', 0.006), ('1609027', 0.001), ('1121027', 0.002)]
식기건조대	79352	[('1609008', 0.761), ('1609004', 0.181), ('1609006', 0.027), ('1609007', 0.017), ('1606008', 0.002), ('1121019', 0.002), ('1303004', 0.001), ('1609005', 0.001), ('1609017', 0.001), ('1609038', 0.002), ('1609012', 0.001), ('1007021', 0.001)]
거실러그	78800	[('1701002', 0.799), ('1701007', 0.076), ('1701008', 0.061), ('1701024', 0.003), ('1701011', 0.021), ('1701013', 0.013), ('1001005', 0.003), ('1701012', 0.006), ('1701005', 0.004), ('1701014', 0.004), ('2801003', 0.001), ('1701027', 0.002), ('2801008', 0.001), ('1810015', 0.001), ('1907002', 0.001)]
컴퓨터책상	77144	[('1009015', 0.967), ('1009027', 0.006), ('1013009', 0.003), ('1009013', 0.003), ('1009006', 0.006), ('1009012', 0.005), ('1001005', 0.001), ('1001002', 0.001), ('1009016', 0.001), ('1009014', 0.001), ('1001006', 0.002), ('1009018', 0.001)]
화장대의자	76444	[('1012006', 0.589), ('1012008', 0.287), ('1012004', 0.064), ('1013022', 0.021), ('1017005', 0.004), ('1017004', 0.005), ('1012001', 0.015), ('1006002', 0.003), ('1402003', 0.004), ('1012007', 0.002), ('1013009', 0.002), ('1408012', 0.001)]
차렵이불	74609	[('1704051', 0.98), ('1704050', 0.013), ('1704048', 0.001), ('1704049', 0.001), ('1704056', 0.002)]
방한커튼	72406	[('1705021', 0.704), ('1705019', 0.063), ('1705022', 0.222), ('1705020', 0.002), ('1810028', 0.001), ('1705010', 0.001), ('1302053', 0.002), ('1910011', 0.001)]
